url,date,source,class
https://x.com/i/status/2059454546049368485,,twitter,O
https://x.com/i/status/2064733084453646754,,twitter,D
https://x.com/i/status/2061050070326288877,,twitter,O
https://x.com/i/status/2042088831105520008,,twitter,O
https://x.com/i/status/2064700690241315279,2026-06-21T05:44:40,twitter,A
https://x.com/i/status/2067281296917745875,,twitter,O
https://x.com/i/status/2067504404882940237,,twitter,O
https://x.com/i/status/2067395306266984924,,twitter,O
https://x.com/i/status/2067385369470124456,,twitter,O
https://x.com/i/status/2067385199873450108,,twitter,O
https://x.com/i/status/2067065846652871045,,twitter,O
https://x.com/i/status/2067023530055938299,,twitter,D
https://x.com/i/status/2067010799550464175,,twitter,O
https://x.com/i/status/2067777899487441064,,twitter,O
https://x.com/i/status/2066165251016413386,,twitter,D
https://x.com/i/status/2064184063645073654,,twitter,O
https://x.com/i/status/2063246488772231284,,twitter,D
https://x.com/i/status/2061382998147178891,,twitter,D
https://x.com/i/status/2060687229463191621,,twitter,O
https://x.com/i/status/2067869711929610563,,twitter,O
https://x.com/i/status/2068055591042396166,,twitter,O
https://x.com/i/status/2068253878244528541,,twitter,O
https://x.com/i/status/2068325194238685202,,twitter,O
https://x.com/i/status/2067847568634098014,,twitter,O
https://x.com/i/status/2067611324876558733,,twitter,D
https://x.com/i/status/2059404278540710015,2026-06-21T16:43:35,twitter,A
https://x.com/i/status/2067970050414215598,,twitter,O
https://x.com/i/status/2068178559219515870,,twitter,O
https://x.com/i/status/2068165383505486285,2026-06-21T20:21:58,twitter,A
https://x.com/i/status/2068397684898066725,,twitter,O
https://x.com/i/status/2067909560828940456,,twitter,O
https://x.com/i/status/2067963011101323584,,twitter,O
https://x.com/i/status/2067776572057436175,,twitter,O
https://x.com/i/status/2068175303298453782,,twitter,O
https://x.com/i/status/2066578735914979780,,twitter,O
https://x.com/i/status/2068741493473612055,,twitter,O
https://x.com/i/status/2068732662421028908,,twitter,O
https://x.com/i/status/2068542951517495331,,twitter,O
https://x.com/i/status/2068715574503342352,2026-06-26T08:32:31,twitter,A
https://x.com/i/status/2061226909048988010,,twitter,D
https://x.com/i/status/2068445985739608294,2026-06-26T19:00:44,twitter,A
https://x.com/i/status/2068212197231116768,,twitter,O
https://x.com/i/status/2068589789926822202,,twitter,O
https://x.com/i/status/2068303274969600496,,twitter,O
https://x.com/i/status/2068275537785635207,,twitter,O
https://x.com/i/status/2068884574135046298,,twitter,O
https://x.com/i/status/2068963444532162722,,twitter,O
https://x.com/i/status/2068849493005803659,,twitter,O
https://x.com/i/status/2068446287326748729,,twitter,O
https://x.com/i/status/2068646448032284784,,twitter,O
https://x.com/i/status/2069107024982622690,,twitter,D
https://x.com/i/status/2068629149116182858,,twitter,O
https://x.com/i/status/2068694191387897887,,twitter,D
